id,pro_address,name
1645,"101/109 Leichhard Street, Spring Hill",Rhcommercial
1646,"101/109 Leichhardt Street, Spring Hill (#370)",Rhcommercial
1647,102 Granite St Geebung *,Rhcommercial
1648,"102 Granite Street, Geebung",Rhcommercial
1649,102 Waterworks Rd The Gap,Admin
1650,"102 Waterworks Road, Ashgrove",Rhcommercial
1651,"1027 Waterworks Road, The Gap",Urbanproperty
1652,103/64 Kate St Morningside *,Timaltass
1653,"103/64 Kates Street, Morningside",Timaltass
1654,"104 Berry St, Yamanto",Admin
1655,104 Berry Street Yamanto,Rhcommercialsouthside
1656,104 Jinibara Crescent Narangba *,NVRE
1657,"104 Jinibara Crescent, Narangba 4504",NVRE
1658,104 Tibrogargan Drive Narangba,NVRE
1659,"104 Tibrogargen Drive, Narangba",NVRE
1660,1041 Beaudesert road Archerfield,Admin
1661,"1041 Beaudesert Road, Archerfield",CushWakeQLD
1662,105 Seville Road Holland Park,Rhcommercialsouthside
1663,1050 Manly Road (Corner of Belmont Rd) Tingalpa,Rhcommercialsouthside
1664,1050 Manly Road Tingalpa,Rhcommercialsouthside
1665,106 Carrara St Mount Gravatt *,Timaltass
1666,"106 Potassium Street, Narangba",CushWakeQLD
1667,"107 Morayfield Rd, Caboolture South",Commercialguys
1668,"107 Warry Street, Fortitude Valley",CushWakeQLD
1669,"108 Breakfast Creek Road, Newstead",Rhcommercial
1670,"11 Allenby Close, North Lakes",NVRE
1671,"11 Elliott St, Caboolture (52King)",Commercialguys
1672,"11 Flynn St, Holland Park West",Timaltass
1673,11 Gabon St Stafford *,Urbanproperty
1674,"11 Gabon Street, Stafford",Urbanproperty
1675,"11 Ganton Street, North Lakes",NVRE
1676,"11 Grace Court, Mango Hill",NVRE
1677,11 Grace Ct Mango Hill *,NVRE
1678,"11 Industry Dr, Caboolture Q 4510",Commercialguys
1679,11 Morrison Cl Mansfield*,CushWakeQLD
1680,11 Vanessa Blvd Springwood,Rhcommercialsouthside
1681,"11/ 10 Depot Street, Banyo, Q",Duganandco
1682,"11/1-3 Business Drive, Narangba",Rhcommercial
1683,"11/1-3 Business Drive, Narangba (#238)",Rhcommercial
1684,"11/1-3 Business Drive, Narangba (JOB NO#238) 2x BOARDS",Rhcommercial
1685,11/229 junction road cannon hill,Duganandco
1686,11/229 Junction Road Morningside/Cannon Hill,Duganandco
1687,11/47 Musgrave Road Coopers Plains,Rhcommercialsouthside
1688,"11/49 Crump Street, Holland Park",Timaltass
1689,"11/81 Bishop Street, Kelvin Grove",Bluecommercial
1690,110 Briggs Road Raceview (ABC),Rhcommercialsouthside
1691,"110 Eagle Street, Brisbane",CushWakeQLD
1692,"110 Morayfield Rd, Caboolture South",Commercialguys
1693,110 Shorncliffe Parade,Urbanproperty
1694,111 Archerfield Road Richlands,Rhcommercialsouthside
1695,"111 Archerfield Road, Richlands",CushWakeQLD
1696,"111 William Berry Dr, Morayfield",Commercialguys
1697,1118 Oxley Road Oxley,Rhcommercialsouthside
1698,1128 Cavendish Rd Mount Gravvatt East,CushWakeQLD
1699,"1128 Cavendish Road, Mount Gravatt east",CushWakeQLD
1700,"113 Breakfast Creek Road, Newstead",Duganandco
1701,114 Berry Street Yamanto,Rhcommercialsouthside
1702,"1147 South Pine Road, Arana Hills",Rhcommercial
1703,115 Boundary Rd West End,CushWakeQLD
1704,115 Boundary Rd West End (Window),CushWakeQLD
1705,"115 Nudgee Road, Hamilton",Rhcommercial
1706,"115-125 Potassium Street, Narangba",CushWakeQLD
1707,116 Delta St Geebung *,Duganandco
1708,"116 Delta Street, Geebung",CushWakeQLD
1709,116 Wellington Street Ormiston,Rhcommercialsouthside
1710,"118 Jubilee Terrace, Bardon",Urbanproperty
1711,"1185 Old North Road, Warner",Bluecommercial
1712,"119 Brownlee Street, Pinkenba",CushWakeQLD
1713,"119 Delta Street, Geebung",Rhcommercial
1714,"11B Fort Lane, Milton",Rhcommercial
1715,"11B Fort Lane, Milton (#981)",Rhcommercial
1716,"12 Ainslie St, North Lakes",NVRE
1717,"12 Antimony Street, Carole Park",CushWakeQLD
1718,"12 Bage Street, Nundah",Rhcommercial
1719,"12 Bage Street, Nundah (#987)",Rhcommercial
1720,"12 Blackwood Street, Mitchelton",Rhcommercial
1721,"12 Breene Place, Morningside",CushWakeQLD
1722,"12 Brodie Street, Holland Park",Timaltass
1723,"12 Brodie Street, Holland Park West",Timaltass
1724,"12 Constance Court, Murrumba downs",NVRE
1725,"12 Holland Street, Northgate",Rhcommercial
1726,12 Meadow Avenue Coopers Plains,Rhcommercialsouthside
1727,"12 Puma Street, Tingalpa",Timaltass
1728,12 Timms Court Woodridge,Rhcommercialsouthside
1729,12 Ward St Bardon *,Urbanproperty
1730,"12, 8 Metroplex Avenue, Murarrie",Duganandco
1731,"12/120 Robertson Street, Fortitude Valley",Timaltass
1732,12/160 Lytton Road Morningside,Duganandco
1733,"12/191 Hedley Avenue, Hendra",CushWakeQLD
1734,"33 Navigator Place, Hendra",CushWakeQLD
1735,"5 Harvton Street, Stafford",CushWakeQLD
1736,"2/5 Ashtan Place, Banyo",CushWakeQLD
1737,"1 7 Boron Street, Narangba",CushWakeQLD
1738,"12/20 Norton Street, Upper Mount Gravatt",Timaltass
1739,12/21 Technology Dr Augustine Heights *,Rhcommercialsouthside
1740,"12/21 Technology Drive, Augustine Heights",Rhcommercialsouthside
1741,"12/67 Depot Street, Banyo",CushWakeQLD
1742,"12/720 MacArthur Avenue, Pinkenba",Rhcommercial
1743,"12/720 MacArthur Avenue, Pinkenba (#459)",Rhcommercial
1744,"12/87 Webster Road, Stafford",CushWakeQLD
1745,"19-25 Union Street, Nundah",Rhcommercial
1746,"60 Commercial Drive, Shailer Park",CushWakeQLD
1747,"8 Ironestone Road, Berrinba",CushWakeQLD
1748,120 Beatty Road Archerfield,Rhcommercialsouthside
1749,"120 South Pine Road, Brendale",CushWakeQLD
1750,"121 Main Beach Road, Pinkenba",Rhcommercial
1751,"122 Pring Street, Tarragindi",Timaltass
1752,"122-124 Delta Street, Geebung",CushWakeQLD
1753,"123 Boundary Road, Rocklea",CushWakeQLD
1754,"124 Bailey Rd, Deception Bay",Commercialguys
1755,1268 Lytton Rd Hemmant *,CushWakeQLD
1756,"1276 Wynnum Road, Tingalpa",Duganandco
1757,"128 Granite Street, Geebung",Rhcommercial
1758,"128 Granite Street, Geebung (#879)",Rhcommercial
1759,"128 Granite Street, Geebung (#879) URGENT",Rhcommercial
1760,"129 Robinson Road, Geebung 4034",Duganandco
1761,"158 Graceville Ave, Graceville",Firstassetmanagment
1762,13 Clarence St Coorparoo,Rhcommercialsouthside
1763,13 Clarence Street Coorparoo,Rhcommercialsouthside
1764,"13 Discovery Drive, North Lakes",Commercialguys
1765,"8 Flynn Lane, Strathpine",CushWakeQLD
1766,"13 Howard Street, Paddington",Urbanproperty
1767,"13 Maud Street, Newstead",Rhcommercial
1768,13 Murdoch Circuit Acacia Ridge,Rhcommercialsouthside
1769,"13 Norman Street, Wooloowin",Rhcommercial
1770,"13 North Shore Drive, Burpengary",Commercialguys
1771,"13/1147 South Pine Road, Arana Hills",Rhcommercial
1772,13/126 Compton Rd Woodridge *,Rhcommercialsouthside
1773,"30 Torres Crescent, North Lakes (68027)",CushWakeQLD
1774,"13/24 Grosvenor Street, Balmoral",Timaltass
1775,13/45 Canberra St Hemmant *,CushWakeQLD
1776,"13/45 Canberra Street, Hemmant",CushWakeQLD
1777,"13/45 Canberra Street, Hemmant (87250)",CushWakeQLD
1778,"130 Gympie Road, Strathpine",CushWakeQLD
1779,"123 Eagle St, Brisbane",SavillsQLD
1780,"6/87 Webster Road, Stafford Qld 4053",Rhcommercial
1781,130 Oxley Station Road Oxley,Rhcommercialsouthside
1782,"470 Upper Roma Street, Milton",Rhcommercial
1783,"132-134 Racecourse Road, Ascot",Duganandco
1784,"135 Sandgate Road, Albion",Rhcommercial
1785,"136-138 Racecourse Road, Ascot, QLD 4007",Duganandco
1786,1362 Beaudesert Rd Acacia Ridge *,Rhcommercialsouthside
1787,1362 Beaudesert Road Acacia Ridge,Rhcommercialsouthside
1788,"137 Granite Street, Geebung",Duganandco
1789,"1371 Gympie Road, Aspley",Rhcommercial
1790,"139 Lindum Road, Hemmant",Duganandco
1791,"139 Musgrave Road, Coopers Plains",Bluecommercial
1792,14 Ashtan Pl Banyo,Admin
1793,14 Bunowang St,Timaltass
1794,"14 Driver Street, Holland Park",Timaltass
1795,"14 Grice Street, Clontarf",Rhcommercial
1796,"Lot 1 Lower King Street, Caboolture (70360)",CushWakeQLD
1797,14 Pinehurst Pl Carindale *,Timaltass
1798,"40-52 McDougall St, Milton QLD 4064 (Kings Row)",CushWakeQLD
1799,14-16 Cronulla Court Slacks Creek,Rhcommercialsouthside
1800,14/103 Oates Ave Holland Park *,Timaltass
1801,"14/459 Tufnell Road, Banyo",Duganandco
1802,14/53 Metroplex Avenue Murarrie,Duganandco
1803,"14/55 Thorn Street, Shafston Towers, Kangaroo Point",Timaltass
1804,"14/8 Overend Street, Norman Park",Timaltass
1805,"14/8 Oxley Street, North Lakes",Rhcommercial
1806,"140 Morayfield Rd, Morayfield",Commercialguys
1807,140-142 Eagle Street Redbank Plains,Rhcommercialsouthside
1808,"140-142 Eagle Street, Redbank Plains",Rhcommercialsouthside
1809,"140-150 Potassium Street, Narangba",CushWakeQLD
1810,"141 Connaught Street, Sandgate",CushWakeQLD
1811,"1416	5&amp;6/76 Lear Jet Drive, Caboolture Qld 4510",Commercialguys
1812,"1420 Anzac Avenue, Kallangur",Rhcommercial
1813,"1440 New Cleveland Road, Chandler (ABC SIGNS)",Rhcommercialbayside
1814,"145 Archerfield Road, Richlands",CushWakeQLD
1815,1472 Boundary Road Wacol,Rhcommercialsouthside
1816,"1499 Anzac Avenue, Kallangur",Rhcommercial
1817,"15 Blivest Street, Oxley",CushWakeQLD
1818,"15 Discovery Drive, North Lakes",Commercialguys
1819,15 Elmes Road Rocklea (ABC),Rhcommercialsouthside
1820,"15 Iveagh Avenue, Holland Park West",Timaltass
1821,"15 Nealdon Drive, Meadowbrook",CushWakeQLD
1822,"15 Pickering Street, Enoggera",Rhcommercial
1823,15 Smallman St,Timaltass
1824,"19 Latrobe Terrace, Paddington",Rhcommercial
1825,"15/20 Norton St, Mount Gravatt",Timaltass
1826,"50 Northlink Place, Virginia",Duganandco
1827,"15/2962 Logan Road, Underwood",Duganandco
1828,"15/388 Newman Road, Geebung",Rhcommercial
1829,15/6 Maunder Street Slacks Creek,Rhcommercialsouthside
1830,"15/8 Navigator Place, Hendra",CushWakeQLD
1831,"31 Proprietary Street, Tingalpa",CushWakeQLD
1832,"154 Ipswich Road, Wolloongabba",Firstassetmanagment
1833,"158 Brisbane Road, Booval",Firstassetmanagment
1834,"158 Graceville Avenue, Graceville",Firstassetmanagment
1835,"16 Brockman Street, North Lakes",NVRE
1836,"16 Douglas Street, Milton",Rhcommercial
1837,16 Glenferrie Pl The Gap *,Urbanproperty
1838,"16 Piper St, Caboolture",Commercialguys
1839,"16 Piper Street, Caboolture",CushWakeQLD
1840,"16 Precision Street, Salisbury",CushWakeQLD
1841,16 Weippin St Cleveland,CushWakeQLD
1842,16 Woodanga St Murarrie *,Timaltass
1843,"16, 8 Metroplex Avenue, Murarrie",Duganandco
1844,"16/238 Young Road, Narangba",NVRE
1845,16/35 Paringa Road Murarrie,Duganandco
1846,"16&amp;17/67 Bancroft Road, Pinkenba",CushWakeQLD
1847,"160 Brisbane Rd, Booval",Firstassetmanagment
1848,160 Musgrave Road Coopers Plains,Rhcommercialsouthside
1849,"160 Musgrave Road, Red Hill",Rhcommercial
1850,"1/23 Discovery Drive, North Lakes (#255)",Rhcommercial
1851,160 Toongarra Road Wulkuraka (ABC),Rhcommercialsouthside
1852,"161-163 Waterworks Road, Ashgrove",CushWakeQLD
1853,"162 Abbotsford Road, Bowen Hills",Rhcommercial
1854,"162 Abbotsford Road, Bowen Hills (JOB ID 371)",Rhcommercial
1855,"162 Abbotsford Road, Bowen Hills (JOB ID#371) 2X BOARDS",Rhcommercial
1856,164 Marshall Rd Rocklea *,Rhcommercialsouthside
1857,"398 St Pauls Tce, Fortitude Valley",Rhcommercial
1858,"1642 Anzac Ave, North Lakes #361",Commercialguys
1859,"1642 Anzac Avenue, North Lakes",Commercialguys
1860,"166 Morayfield Rd, Morayfield",Commercialguys
1861,"169 Granite Street, Geebung",Rhcommercial
1862,"169 Wellington Road, East Brisbane",CushWakeQLD
1863,"17 &amp; 40 Network Place, Richlands",CushWakeQLD
1864,"17 Billabong Street, Stafford",CushWakeQLD
1865,17 Caratel St Stafford Heights *,Urbanproperty
1866,17 Curzon Street Tennyson,Rhcommercialsouthside
1867,17 Ellerslie Rd Meadowbrook *,CushWakeQLD
1868,"17 Storie Street, Clontarf",Rhcommercial
1869,17-19 University Drive Meadowbrook (Unit 7),Bluecommercial
1870,17/12-16 Selbourne St Mount Gravatt *,Timaltass
1871,17/58(2a) Wecker Road Mansfield,Rhcommercialsouthside
1872,8/28 Bangor Street Archerfield,Rhcommercialsouthside
1873,"17/77 Nursery Avenue, Runcorn",Timaltass
1874,"171 Railway Parade, Thorneside",Rhcommercialbayside
1875,"172 Ingram Road, Acacia Ridge",CushWakeQLD
1876,173 Jubilee Terrace Bardon,Urbanproperty
1877,7/60 Coulson Street Wacol,CushWakeQLD
1878,4/68 Parramatta Rd Underwood,CushWakeQLD
1879,173 Samford Rd Enoggera *,Urbanproperty
1880,"174 Stradbroke Street, Heathwood",CushWakeQLD
1881,175 Jackson Road Sunnybank (ABC),Rhcommercialsouthside
1882,"17a/ 23 Breene Place, Morningside",CushWakeQLD
1883,"(RH Southside) 1652 Ipswich Road, Rocklea, Qld, 4106",CushWakeQLD
1884,"18 Boothby Street, Kedron",Rhcommercial
1885,"18 Boothby Street, Kedron (#66)",Rhcommercial
1886,"18 Brodie Street, Holland Park",Timaltass
1887,"18 Johnstone Rd, Brendale",CushWakeQLD
1888,"18 Johnstone Road, Brendale",CushWakeQLD
1889,"18 Jutland St, Loganlea",CushWakeQLD
1890,"18 Jutland Street, Loganlea",CushWakeQLD
1891,"18 Thompson Street, Bowen Hills",CushWakeQLD
1892,"18-20 Babdoyle Street, Loganholme",CushWakeQLD
1893,"18/23 Ashtan Place, Banyo",Rhcommercial
1894,18/23 Breene Place Morningside,Duganandco
1895,"18/32 Kate Street, Carina",Timaltass
1896,1821 Ipswich Road Rocklea,Rhcommercialsouthside
1897,"184 Bay Terrace, Wynnum Qld 4178",Rhcommercialbayside
1898,"185 Brays Rd, Griffin",Commercialguys
1899,"186 Anzac Ave, Kippa-Ring",Commercialguys
1900,"188 Anzac Ave, Kippa Ring",Commercialguys
1901,1886 Creek Road (53 Ludwick Street) Cannon Hill,Rhcommercialsouthside
1902,"19 Carbeen St, Bulimba",Timaltass
1903,"19 Hasking Street, Caboolture",Commercialguys
1904,"6a/68 Racecourse Road, Hamilton (#80)",Rhcommercial
1905,19 Latrobe Terrace Paddington *,Rhcommercial
1906,"19 Lear Jet Dr, Caboolture",Commercialguys
1907,"19 Proprietary Street, Tingalpa",Duganandco
1908,"19 Wilclarke St, Upper Mount Gravatt",Timaltass
1909,"19-23 Felix Street, Lutwyche",Rhcommercial
1910,26 Springfield Lake Boulevard Springfield Lakes,Purple Cow
1911,"19/11 Buchanan Rd, Banyo",Admin
1912,"200 Moggill Road, Taringa (JOB ID #64)",Rhcommercial
1913,"19/11 Buchanan Road, Banyo",Rhcommercial
1914,19/23 Breene Place Morningside,Duganandco
1915,19/49 Crump St Holland Park *,Timaltass
1916,191 George St Brisbane,Admin
1917,"193 South Pine Rd, Brendale",Commercialguys
1918,"193 South Pine Road, Brendale",Rhcommercial
1919,"194 Zillmere Rd, Zillmere",Duganandco
1920,"1A/87 Kelliher Road, Richlands",CushWakeQLD
1921,"2 &amp; 3/32 Dixon Street, Strathpine",Rhcommercial
1922,"2 &amp; 3/363 Gympie Road, Strathpine",Rhcommercial
1923,"2 Belconnen Crescent, Brendale",Rhcommercial
1924,"2 Glasford Street, Wishart",Timaltass
1925,"188 Anzac Ave, Kippa-Ring - Job #622",Commercialguys
1926,39-43 Abang Avenue Tanah Merah,Rhcommercialsouthside
1927,"2 King Court, North Lakes",Duganandco
1928,2 Knobel Court Shailer Park,Rhcommercialsouthside
1929,"2 Lima Court, Underwood",Timaltass
1930,2 Spine Street (53 Wolston Road) Sumner,Rhcommercialsouthside
1931,2 Success Street Acacia Ridge,CushWakeQLD
1932,"2 Sydney Avenue, Camp Hill",Timaltass
1933,2-20 Shore St Ormiston,Rhcommercialsouthside
1934,2-20 Shore Street West Ormiston,KevinMurdock
1935,"2-20 Shore Street, Ormiston",Rhcommercialbayside
1936,2-3/115 Robinson Rd Geebung,Duganandco
1937,2/1 Stockwell Place Archerfield *,Rhcommercialsouthside
1938,"2/1 Wills St, North Lakes (cnr of Wills &amp; Flinders Pde)",Commercialguys
1939,2/1075 Beaudesert Rd Archerfield,Bluecommercial
1940,2/1075 Beaudesert Rd Archerfield *,Bluecommercial
1941,"2/11 Bilyana Street, Balmoral",Timaltass
1942,"2/11 Container Street, Tingalpa",CushWakeQLD
1943,"2/11 Maine Rd, Clontarf",Commercialguys
1944,"2/12 Annie St, Caboolture",Commercialguys
1945,2/1318 Boundary Rd Wacol,Rhcommercialsouthside
1946,"2/1318 Boundary Road, Wacol",Rhcommercialsouthside
1947,"2/14 Cambridge Street, Bulimba",Timaltass
1948,"2/14-22 Henry Street, Loganholme",CushWakeQLD
1949,"2/140 Links Avenue, Eagle Farm",Rhcommercial
1950,"2/141 Lindum Road, Hemmant",Bluecommercial
1951,2/15 Anthony Street West End (ABC),Rhcommercialsouthside
1952,"2/16 Bremner Road, Rothwell",Commercialguys
1953,"2/16 Redcliffe Gardens Dr, Clontarf",Commercialguys
1954,"2/17 Billabong Street, Stafford",CushWakeQLD
1955,"33 Queensport Rd, Murarrie",Duganandco
1956,"2/2 Kenworth Place, Brendale",Rhcommercial
1957,2/2 Sonia Court Raceview,Rhcommercialsouthside
1958,"2/22 Hugo Place, Mansfield",Duganandco
1959,2/22 Palmer Place Murarrie,Duganandco
1960,"2/23-25 Lear Jet Dr, Caboolture",Commercialguys
1961,"2/25 Granite St, Geebung QLD 4034",Duganandco
1962,"2/25 Granite Street, Geebung",Rhcommercial
1963,2/2932 Logan Road Underwood,Rhcommercialsouthside
1964,"2/30 Bishop Street, Kelvin Grove",Bluecommercial
1965,"2/31 Salisbury Street, Indooroopilly",Urbanproperty
1966,"2/33 Kremzow Road, Brendale",Rhcommercial
1967,2/33 Miller Street Murarrie,Duganandco
1968,"2/34 Navigator Place, Hendra",Rhcommercial
1969,"2/40 Anton Road, Hemmant",CushWakeQLD
1970,"2/43-45 Beach St, Kippa-Ring",Commercialguys
1971,"2/44 Redfern Street, Morningside",Timaltass
1972,"2/445 Upper Edward Street, Spring Hill",Rhcommercial
1973,2/51 Secam Street Mansfiled QLD 4122,Duganandco
1974,"2/605 Nudgee Road, Nundah",CushWakeQLD
1975,"2/65 Gowrie Street, Annerley",Timaltass
1976,"2/659 Boundary Road, Richlands",CushWakeQLD
1977,2/667 Sherwood Road Sherwood,Rhcommercialsouthside
1978,2/67 Charlotte St Paddington,Urbanproperty
1979,2/7 Shettleston Street Rocklea,Rhcommercialsouthside
1980,2/727 Stanley St Woolloongabba,Rhcommercialsouthside
1981,"2/9 Northlink Place, Virginia, QLD 4014",Duganandco
1982,"2/90 Mowbray Terrace, East Brisbane",Timaltass
1983,"20 Huntington St, Clontarf",Commercialguys
1984,"20 Jason Street, Red Hill",Urbanproperty
1985,"20 Midyim Street, North Lakes",NVRE
1986,"20 Millway Set, Kedron",CushWakeQLD
1987,"20 Millway Street, Kedron",Bluecommercial
1988,20 Norton St Upper Mount Gravatt *,Timaltass
1989,"20 Racecourse Road, Hamilton",Rhcommercial
1990,20/1029 Manly Road Tingalpa,Duganandco
1991,"20/11 Buchanan Road, Banyo",Rhcommercial
1992,"20/300 Cullen Avenue, Eagle Farm",Rhcommercial
1993,20/8-14 St Jude Court Browns Plains,Firstassetmanagment
1994,200 Brisbane Road Booval,Rhcommercialsouthside
1995,"201 Wickham Terrace, Spring Hill",Rhcommercial
1996,"201-205 Morayfield Road, Morayfield",Commercialguys
1997,2015 Theodore St Stafford *,Admin
1998,"202 Boundary Street, Spring Hill",CushWakeQLD
1999,206 Montague Rd West End,Rhcommercialsouthside
2000,206 Montague Road West End,Rhcommercialsouthside
2001,"207-209 Morayfield Road, Morayfield",Commercialguys
2002,"209 Days Road, Grange",Rhcommercial
2003,21 Dividend St Mansfield *,Duganandco
2004,21 Everest St Warner *,CushWakeQLD
2005,"21 Halsey Street, Holland Park",Timaltass
2006,"21 Inghams Place, Hemmant",Bluecommercial
2007,21 Lathe St Virginia,Rhcommercial
2008,"21 Spurs Drive, Wellington Point",Timaltass
2009,21 Walter Crescent Lawnton *,Rhcommercial
2010,"21 Wolverhampton Street, Stafford",Rhcommercial
2011,22 Aranda Street Slacks Creek (ABC),Rhcommercialsouthside
2012,22 Ashover Road Rocklea (ABC),Rhcommercialsouthside
2013,22 Coronation St Bardon,Urbanproperty
2014,"22 Lennon Boulevard, Narangba",NVRE
2015,"22 Midgley Street, Carina",Timaltass
2016,22 Redland Bay Rd Capalaba,Rhcommercialsouthside
2017,22 Redland Bay Road Capalaba,KevinMurdock
2018,"22 Redland Bay Road, Capalaba Qld  (ABC SIGNS)",Rhcommercialbayside
2019,"22 Terrance Road, Brendale",Rhcommercial
2020,"22-24 Excelsior Drive, Morayfield",NVRE
2021,22/23 Ashtan Pl Banyo *,Duganandco
2022,22/256 Musgrave Road Coopers Plains,Rhcommercialsouthside
2023,"223-245 Orchard Rd, Richlands",CushWakeQLD
2024,"225 Orchard Road, Richlands (68419)",CushWakeQLD
2025,"225 Zillmere Road, Zillmere",Duganandco
2026,"227 Dohles Rocks Road, Murrumba Downs",NVRE
2027,"227 Ewing Road, Woodridge",CushWakeQLD
2028,"2270 Sandgate Rd, Boondall",Commercialguys
2029,"22A Bonar Street, Morningside",Timaltass
2030,23 Alexandra St Bardon,Admin
2031,23 Blackwood St Mitchelton *,Rhcommercial
2032,"23 Breene Place, Morningside",Firstassetmanagment
2033,"23 Enterprise Street, Richlands",CushWakeQLD
2034,"23 Kabi Circuit, Deception Bay",CushWakeQLD
2035,"23 Poppy Place, The Gap",Urbanproperty
2036,23 Poppy St The Gap,Admin
2037,"23 Santley Street, Mt Gravatt",Timaltass
2038,"23-25 Skyreach St, Caboolture",Commercialguys
2039,"23/1015 Nudgee Road, Banyo",Duganandco
2040,230 Lytton Road Morningside,Bluecommercial
2041,"230 Lytton Road, Morningside",Bluecommercial
2042,"24 Abbot Circuit, Bellbird Park",Rhcommercial
2043,"24 Cameron Street, Clontarf",Rhcommercial
2044,24 Devlan Street Mansfield,Rhcommercialsouthside
2045,"24 Johnstone Rd, Brendale",Admin
